day,stagecode,artistcode,starttime,duration,caption,headercode
1,mo,tashsultana,22:00,"",Tash Sultana,20180315
1,mo,leonbridges,20:30,"",Leon Bridges,20180315
1,mo,gomez,18:45,"",Gomez,20180315
1,mo,ragnboneman,17:15,"",Rag 'n' Bone Man,20180315
1,mo,holyholy,15:30,"",Holy Holy,20180315
1,mo,arakwalwelcometocountry,15:15,"",Arakwal Welcome to Country,20180315
1,cr,theoriginalbluesbrothersband,22:30,"",The Original Blues Brothers Band,20180315
1,cr,jasonisbellandthe400unit,20:30,"",Jason Isbell and The 400 Unit,20180315
1,cr,govtmule,18:30,"",Gov't Mule,20180315
1,cr,lukasnelsonpromiseofthereal,16:30,"",Lukas Nelson & Promise of the Real,20180315
1,cr,citizencope,15:00,"",Citizen Cope,20180315
1,ja,thewailers,22:30,"",The Wailers,20180315
1,ja,thenewpowergeneration,21:00,"",The New Power Generation,20180315
1,ja,hurrayfortheriffraff,19:30,"",Hurray for the Riff Raff,20180315
1,ja,allourexesliveintexas,18:00,"",All Our Exes Live in Texas,20180315
1,ja,elephantsessions,16:30,"",Elephant Sessions,20180315
1,ja,stevesmyth,15:00,"",Steve Smyth,20180315
1,de,joelouiswalker,22:00,"",Joe Louis Walker,20180315
1,de,newtonfaulkner,20:30,"",Newton Faulkner,20180315
1,de,ryanmcmullan,19:00,"",Ryan McMullan,20180315
1,de,shaunkirk,17:30,"",Shaun Kirk,20180315
1,de,busking2018finalists,15:00,"",Busking 2018 Finalists,20180315
1,ju,dumpstaphunk,22:00,"",Dumpstaphunk,20180315
1,ju,thecaliforniahoneydrops,20:30,"",The California Honeydrops,20180315
1,ju,williamcrighton,19:00,"",William Crighton,20180315
1,ju,caitibaker,17:30,"",Caiti Baker,20180315
1,ju,narasirato,16:00,"",Narasirato,20180315
1,ju,balibluesbrothers,14:30,"",Bali Blues Brothers,20180315
2,mo,mslaurynhill,22:00,"",Ms. Lauryn Hill,20180315
2,mo,thenewpowergeneration,20:00,"",The New Power Generation,20180315
2,mo,gomez,18:15,"",Gomez,20180315
2,mo,asgeir,16:45,"",Asgeir,20180315
2,mo,harts,15:15,"",Harts,20180315
2,cr,robertplantthesensationalspaceshifters,22:30,"",Robert Plant & The Sensational Space Shifters,20180315
2,cr,jimmycliff,20:30,"",Jimmy Cliff,20180315
2,cr,youssoundour,18:30,"",Youssou N'dour,20180315
2,cr,juanes,16:30,"",Juanes,20180315
2,cr,allourexesliveintexas,15:00,"",All Our Exes Live In Texas,20180315
2,cr,littlegeorgia,13:30,"",Little Georgia,20180315
2,ja,thewailers,23:00,"",The Wailers,20180315
2,ja,govtmule,20:30,"",Gov't Mule,20180315
2,ja,dumpstaphunk,19:00,"",Dumpstaphunk,20180315
2,ja,conbrio,17:00,"",Con Brio,20180315
2,ja,hanlonbrothers,15:30,"",Hanlon Brothers,20180315
2,ja,theteskeybrothers,14:00,"",The Teskey Brothers,20180315
2,ja,citizencope,12:30,"",Citizen Cope,20180315
2,de,ericgales,22:15,"",Eric Gales,20180315
2,de,bobbyrush,20:45,"",Bobby Rush,20180315
2,de,cannedheat,19:00,"",Canned Heat,20180315
2,de,newtonfaulkner,17:30,"",Newton Faulkner,20180315
2,de,hurrayfortheriffraff,16:00,"",Hurray for the Riff Raff,20180315
2,de,andrecymone,14:30,"",Andre Cymone,20180315
2,de,mollymillington,13:15,"",Molly Millington,20180315
2,de,tayoskee,12:15,"",Tay Oskee,20180315
2,ju,thecaliforniahoneydrops,22:30,"",The California Honeydrops,20180315
2,ju,joelouiswalker,21:00,"",Joe Louis Walker,20180315
2,ju,elephantsessions,19:30,"",Elephant Sessions,20180315
