day,stagecode,artistcode,starttime,duration,caption,headercode
1,mo,kendricklamar,22:45,75 min,KENDRICK LAMAR,20160304
1,mo,dangelo,20:45,90 min,D'ANGELO,20160304
1,mo,kamasiwashington,19:00,75 min,KAMASI WASHINGTON,20160304
1,mo,hiatuskaiyote,17:30,60 min,HIATUS KAIYOTE,20160304
1,mo,fantasticnegrito,16:00,60 min,FANTASTIC NEGRITO,20160304
1,mo,welcometocountry,15:50,10 min,WELCOME TO COUNTRY,20160304
1,cr,tedeschitrucksband,22:00,120 min,TEDESCHI TRUCKS BAND,20160304
1,cr,coldwarkids,20:30,60 min,COLD WAR KIDS,20160304
1,cr,tweedy,18:45,75 min,TWEEDY,20160304
1,cr,conbrio,17:15,60 min,CON BRIO,20160304
1,cr,harts,16:00,45 min,HARTS,20160304
1,ja,thewailers,23:00,60 min,THE WAILERS PRESENT EXODUS,20160304
1,ja,theword,21:00,90 min,THE WORD,20160304
1,ja,janivamagness,19:30,60 min,JANIVA MAGNESS,20160304
1,ja,lukasnelsonpromiseofthereal,17:30,90 min,LUKAS NELSON & PROMISE OF THE REAL,20160304
1,ja,thebroslandreth,16:00,60 min,THE BROS. LANDRETH,20160304
1,de,songhoyblues,23:00,60 min,SONGHOY BLUES,20160304
1,de,rhiannongiddens,21:30,60 min,RHIANNON GIDDENS,20160304
1,de,emmadonovantheputbacks,20:00,60 min,EMMA DONOVAN & THE PUTBACKS,20160304
1,de,kaleo,18:30,60 min,KALEO,20160304
1,de,lordhuron,17:15,45 min,LORD HURON,20160304
1,de,diggingroots,16:00,45 min,DIGGING ROOTS,20160304
1,ju,luckypeterson,22:30,90 min,LUCKY PETERSON,20160304
1,ju,eugenehideawaybridges,21:00,60 min,EUGENE 'HIDEAWAY' BRIDGES,20160304
1,ju,chain,19:45,45 min,CHAIN,20160304
1,ju,stevesmyth,18:30,45 min,STEVE SMYTH,20160304
1,ju,blindboypaxton,17:15,45 min,BLIND BOY PAXTON,20160304
1,ju,marshallokell,16:00,45 min,MARSHALL OKELL,20160304
2,mo,thenational,22:30,90 min,THE NATIONAL,20160304
2,mo,cityandcolour,20:30,90 min,CITY AND COLOUR,20160304
2,mo,nahkomedicineforthepeople,18:30,90 min,NAHKO & MEDICINE FOR THE PEOPLE,20160304
